title	nwbib	lobid
ABU-Info	https://nwbib.de/99370698631806441	https://lobid.org/resources/99370698631806441
Acta Universitatis Carolinae, Studia territorialia	https://nwbib.de/990117495520206441	https://lobid.org/resources/990117495520206441
Annalen des Historischen Vereins für den Niederrhein, insbesondere das Alte Erzbistum Köln	https://nwbib.de/99370676441806441	https://lobid.org/resources/99370676441806441
Archäologie in Westfalen-Lippe	https://nwbib.de/99370690644406441	https://lobid.org/resources/99370690644406441
Archäologische informationen	https://nwbib.de/99370691726306441	https://lobid.org/resources/99370691726306441
Archivar	https://nwbib.de/990054090220206441	https://lobid.org/resources/990054090220206441
Archiv für Familiengeschichtsforschung	https://nwbib.de/990056380980206441	https://lobid.org/resources/990056380980206441
Archiv für Sozialgeschichte	https://nwbib.de/99370699220906441	https://lobid.org/resources/99370699220906441
Archivmitteilungen / Evangelische Kirche von Westfalen, Landeskirchliches Archiv	https://nwbib.de/990107734770206441	https://lobid.org/resources/990107734770206441
ATT	https://nwbib.de/990206386260206441	https://lobid.org/resources/990206386260206441
Ausgrabungen und Funde in Westfalen-Lippe	https://nwbib.de/990054351560206441	https://lobid.org/resources/990054351560206441
Baurecht	https://nwbib.de/990054467200206441	https://lobid.org/resources/990054467200206441
Bembix	https://nwbib.de/990056195060206441	https://lobid.org/resources/990056195060206441
Blätter für deutsche Landesgeschichte	https://nwbib.de/99370686829206441	https://lobid.org/resources/99370686829206441
Cicero	https://nwbib.de/99370676097506441	https://lobid.org/resources/99370676097506441
Das Krankenhaus	https://nwbib.de/991005934569706485	https://lobid.org/resources/991005934569706485
Denkmalpflege im Rheinland	https://nwbib.de/990054887310206441	https://lobid.org/resources/990054887310206441
Der Anschnitt	https://nwbib.de/991000037949706469	https://lobid.org/resources/991000037949706469
Der Gießerjunge	https://nwbib.de/990056188890206441	https://lobid.org/resources/990056188890206441
Der Holter	https://nwbib.de/990177585570206441	https://lobid.org/resources/990177585570206441
Der Limes	https://nwbib.de/990159617580206441	https://lobid.org/resources/990159617580206441
Der Oberhof	https://nwbib.de/990055488070206441	https://lobid.org/resources/990055488070206441
Der Schwammklöpper	https://nwbib.de/990055974800206441	https://lobid.org/resources/990055974800206441
Der Städtetag	https://nwbib.de/990054090310206441	https://lobid.org/resources/990054090310206441
Der Weweraner	https://nwbib.de/99370698767006441	https://lobid.org/resources/99370698767006441
Deutsche Jugend	https://nwbib.de/990053992790206441	https://lobid.org/resources/990053992790206441
Deutsches Verwaltungsblatt	https://nwbib.de/990053981780206441	https://lobid.org/resources/990053981780206441
Die beste Zeit	https://nwbib.de/990177681160206441	https://lobid.org/resources/990177681160206441
Duisburger Jahrbuch	https://nwbib.de/990054453850206441	https://lobid.org/resources/990054453850206441
Einfach Bergisch	https://nwbib.de/990228695220206441	https://lobid.org/resources/990228695220206441
Eitorfer Heimatblätter	https://nwbib.de/990056355370206441	https://lobid.org/resources/990056355370206441
Ennepetaler Forschungen	https://nwbib.de/990056707480206441	https://lobid.org/resources/990056707480206441
Geologie und Paläontologie in Westfalen	https://nwbib.de/990052947850206441	https://lobid.org/resources/990052947850206441
Gerrikuss	https://nwbib.de/990223568580206441	https://lobid.org/resources/990223568580206441
Geschichte im Bistum Aachen	https://nwbib.de/990049189040206441	https://lobid.org/resources/990049189040206441
Geschichte und Gesellschaft	https://nwbib.de/990054073200206441	https://lobid.org/resources/990054073200206441
Geschichtsbrief Bedburg-Hau	https://nwbib.de/990154002140206441	https://lobid.org/resources/990154002140206441
Grabbe-Jahrbuch ...	https://nwbib.de/99370693389606441	https://lobid.org/resources/99370693389606441
Grevener Geschichtsblätter ...	https://nwbib.de/990214814330206441	https://lobid.org/resources/990214814330206441
